R [km],M [Msun],P_div_c2 [g/cm^3]
1.362381632653061381e+01,3.640950732873243223e-01,1.209545474221602344e+13
1.358289795918367382e+01,3.687931607980777238e-01,1.236058354515638086e+13
1.352881632653061494e+01,3.736264632956604048e-01,1.263152389331319336e+13
1.348689795918367373e+01,3.786574839392903846e-01,1.290840317404476367e+13
1.344159183673469471e+01,3.838768465546666397e-01,1.319135156700274414e+13
1.339097959183673403e+01,3.892835175259105052e-01,1.348050210533822266e+13
1.334714285714285786e+01,3.949084414121492581e-01,1.377599073824996875e+13
1.330585714285714438e+01,4.007427318592481358e-01,1.407795639490289258e+13
1.326100000000000101e+01,4.067854840869777888e-01,1.438654104974848047e+13
1.322214285714285786e+01,4.130532972385630441e-01,1.470188978927611914e+13
1.317573469387755125e+01,4.195395149515662170e-01,1.502415088022845117e+13
1.314167346938775793e+01,4.262573811348421837e-01,1.535347583931142969e+13
1.310177551020408160e+01,4.332040797523265541e-01,1.569001950443234766e+13
1.306773469387755071e+01,4.403932740701902437e-01,1.603394010750005078e+13
1.303414285714285725e+01,4.478206493537615906e-01,1.638539934881992188e+13
1.299957142857143033e+01,4.554948543157029128e-01,1.674456247312058008e+13
1.296487755102040751e+01,4.634171892552505501e-01,1.711159834724639648e+13
1.293263265306122456e+01,4.715913070968758003e-01,1.748667953955298633e+13
1.291085714285714481e+01,4.800166751856815850e-01,1.786998240104374219e+13
1.287757142857143045e+01,4.887086402020401343e-01,1.826168714828378516e+13
1.285667346938775779e+01,4.976568392595835388e-01,1.866197794813251953e+13
1.283265306122449090e+01,5.068693191728578240e-01,1.907104300433232422e+13
1.281085714285714339e+01,5.163522882974256323e-01,1.948907464599637109e+13
1.279093877551020420e+01,5.260766335376987346e-01,1.991626941803531250e+13
1.277157142857143057e+01,5.360536503243571449e-01,2.035282817356606250e+13
1.275365306122449027e+01,5.462934155868893749e-01,2.079895616834700000e+13
1.274067346938775636e+01,5.567121479111377669e-01,2.125486315728187500e+13
1.272887755102040863e+01,5.673710662027353635e-01,2.172076349304037500e+13
1.271987755102040829e+01,5.782892796353936715e-01,2.219687622683953125e+13
1.270734693877551180e+01,5.894538063149765694e-01,2.268342521143421094e+13
1.269879591836734711e+01,6.009145557359505396e-01,2.318063920636607031e+13
1.269079591836734799e+01,6.126619513137094852e-01,2.368875198551810156e+13
1.268495918367347031e+01,6.246762648006730645e-01,2.420800244702830469e+13
1.268471428571428739e+01,6.369798676779427904e-01,2.473863472561105859e+13
1.268767346938775731e+01,6.495938485085959169e-01,2.528089830734201953e+13
1.268493877551020432e+01,6.624421499350443554e-01,2.583504814695809375e+13
1.268444897959183848e+01,6.755340141055510284e-01,2.640134478772856641e+13
1.268685714285714461e+01,6.888733048336016518e-01,2.698005448395481250e+13
1.268869387755102096e+01,7.022917983554188837e-01,2.757144932615358594e+13
1.269161224489796069e+01,7.157513106573403228e-01,2.817580736898600781e+13
1.269875510204081692e+01,7.293306356026318937e-01,2.879341276198898047e+13
1.270465306122449078e+01,7.427340830264641536e-01,2.942455588317383203e+13
1.271079591836734757e+01,7.561339330342288223e-01,3.006953347555232812e+13
1.272259183673469529e+01,7.696054876234138531e-01,3.072864878665522266e+13
1.272467346938775812e+01,7.830434080014450071e-01,3.140221171111026172e+13
1.273659183673469464e+01,7.966103947121474516e-01,3.209053893634358203e+13
1.274520408163265373e+01,8.103997918925809341e-01,3.279395409147688672e+13
1.275800000000000090e+01,8.243102320869521993e-01,3.351278789948630078e+13
1.276385714285714457e+01,8.383959783671335320e-01,3.424737833269851953e+13
1.277697959183673504e+01,8.526959644279785699e-01,3.499807077169402344e+13
1.278771428571428714e+01,8.670694092347366322e-01,3.576521816769340625e+13
1.279281632653061429e+01,8.814691063039832297e-01,3.654918120850455469e+13
1.280528571428571460e+01,8.959594207144597755e-01,3.735032848810521094e+13
1.281928571428571395e+01,9.103504272016227361e-01,3.816903667994507031e+13
1.283195918367347055e+01,9.246067774762048996e-01,3.900569071404420312e+13
1.284067346938775778e+01,9.389319170276915205e-01,3.986068395797574219e+13
1.285700000000000109e+01,9.532027980533789302e-01,4.073441840181409375e+13
1.286365306122449148e+01,9.675111197067938207e-01,4.162730484713710938e+13
1.287565306122449016e+01,9.820039755345461030e-01,4.253976310017280469e+13
1.288734693877551152e+01,9.966310264624117510e-01,4.347222216917732812e+13
1.289861224489796143e+01,1.011386806686115580e+00,4.442512046614203125e+13
1.291089795918367500e+01,1.026396153957300772e+00,4.539890601291919531e+13
1.292593877551020398e+01,1.041582685768276617e+00,4.639403665186857812e+13
1.293379591836734832e+01,1.056942179066311382e+00,4.741098026111955469e+13
1.295030612244898016e+01,1.072575704545640551e+00,4.845021497455160938e+13
1.296355102040816476e+01,1.088457833119178542e+00,4.951222940659870312e+13
1.297689795918367395e+01,1.104570058581659131e+00,5.059752288197839844e+13
1.298797959183673534e+01,1.120994959568797356e+00,5.170660567045948438e+13
1.300497959183673480e+01,1.137708726260468151e+00,5.283999922677371875e+13
1.301671428571428812e+01,1.154656029933728956e+00,5.399823643578621875e+13
1.303285714285714469e+01,1.171924797572358790e+00,5.518186186304217188e+13
1.305024489795918363e+01,1.189475931207681025e+00,5.639143201080210156e+13
1.306424489795918475e+01,1.207253070094921332e+00,5.762751557969275000e+13
1.307795918367347099e+01,1.225341740016234970e+00,5.889069373609099219e+13
1.309520408163265515e+01,1.243690479644133928e+00,6.018156038536865625e+13
1.311375510204081785e+01,1.262257284292633841e+00,6.150072245112927344e+13
